"item_code","item","unit","item_group","item_category","item_subcategory"
1396,"KUBIS BULAT IMPORT (INDONESIA)","1kg","BARANGAN SEGAR","SAYUR-SAYURAN","KUBIS"
1399,"BAWANG PERAI (LEEK) TEMPATAN","1kg","BARANGAN SEGAR","SAYUR-SAYURAN","BAWANG"
1400,"BAWANG PERAI (LEEK) IMPORT","1kg","BARANGAN SEGAR","SAYUR-SAYURAN","BAWANG"
1402,"HORLICKS (PAKET)","400 g","MINUMAN","BAHAN-BAHAN MINUMAN","HORLICKS"
1412,"KUBIS PANJANG CHINA - BESAR","1kg","BARANGAN SEGAR","SAYUR-SAYURAN","KUBIS"
1419,"KACANG DAL BIASA (INDIA)","1kg","BARANGAN KERING","KACANG","KACANG DAL"
1420,"KACANG DAL MALAVI (INDIA)","1kg","BARANGAN KERING","KACANG","KACANG DAL"
1422,"KACANG DAL (AUSTRALIA)","1kg","BARANGAN KERING","KACANG","KACANG DAL"
1431,"DAGING LEMBU TEMPATAN (BAHAGIAN 1 DAGING PAHA (KECUALI BATANG PINANG - TENDERLOIN)","1kg","BARANGAN SEGAR","DAGING","DAGING LEMBU"
1432,"DAGING LEMBU TEMPATAN (BAHAGIAN 2 DAGING PEJAL (KECUALI BATANG PINANG - TENDERLOIN)","1kg","BARANGAN SEGAR","DAGING","DAGING LEMBU"
1436,"IKAN KERISI (ANTARA 5 HINGGA 10 EKOR SEKILOGRAM)","1kg","BARANGAN SEGAR","BAHAN LAUT","IKAN KERISI"
1437,"IKAN SIAKAP (ANTARA 2 HINGGA 4 EKOR SEKILOGRAM)","1kg","BARANGAN SEGAR","BAHAN LAUT","IKAN SIAKAP"
1438,"IKAN TENGGIRI BATANG (KEPINGAN)","1kg","BARANGAN SEGAR","BAHAN LAUT","IKAN TENGGIRI"
1440,"BAWANG BESAR IMPORT (INDIA)","1kg","BARANGAN KERING","BAWANG","BAWANG BESAR"
1441,"BAWANG BESAR IMPORT (CHINA)","1kg","BARANGAN KERING","BAWANG","BAWANG BESAR"
1442,"BAWANG KECIL MERAH BIASA IMPORT (INDIA)","1kg","BARANGAN KERING","BAWANG","BAWANG KECIL"
1443,"BAWANG KECIL MERAH IMPORT (CHINA)","1kg","BARANGAN KERING","BAWANG","BAWANG KECIL"
1444,"BAWANG KECIL MERAH IMPORT (MYANMAR)","1kg","BARANGAN KERING","BAWANG","BAWANG KECIL"
1445,"BERAS CAP FAIZA EMAS (SST5%)","10 kg","BARANGAN BERBUNGKUS","BERAS","BERAS"
1458,"KUBIS BULAT IMPORT (BEIJING)","1kg","BARANGAN SEGAR","SAYUR-SAYURAN","KUBIS"
1463,"KRIMER SEJAT CARNATION","390g","BARANGAN BERBUNGKUS","KRIMER DAN SUSU TEPUNG","KRIMER"
1468,"PANADOL FOR CHILDREN SUSPENSION 1-6","60ml","BARANGAN KEDAI SERBANEKA","UBAT-UBATAN","PANADOL"
1469,"NESCAFE ''O'' PANAS","gelas kecil","MAKANAN SIAP MASAK","MINUMAN","NESCAFE"
1474,"BERAS BASMATHI - FAIZA (KASHMIR)","5 kg","BARANGAN BERBUNGKUS","BERAS","BERAS BASMATHI"
1475,"IKAN BAWAL PUTIH (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM)","1kg","BARANGAN SEGAR","BAHAN LAUT","IKAN BAWAL"
1476,"IKAN KEMBUNG (ANTARA 8 HINGGA 12 EKOR SEKILOGRAM)","1kg","BARANGAN SEGAR","BAHAN LAUT","IKAN KEMBUNG"
1477,"IKAN MABUNG (ANTARA 6 HINGGA 10 EKOR SEKILOGRAM)","1kg","BARANGAN SEGAR","BAHAN LAUT","IKAN MABUNG"
1479,"BROKOLI","1kg","BARANGAN SEGAR","SAYUR-SAYURAN","SAYUR DAUN"
1481,"KUBIS BUNGA (CAULIFLOWER)","1kg","BARANGAN SEGAR","SAYUR-SAYURAN","KUBIS"
1482,"KUBIS PANJANG (TEMPATAN)","1kg","BARANGAN SEGAR","SAYUR-SAYURAN","KUBIS"
1483,"MEE KUNING BASAH (PELBAGAI JENAMA)","+-450g","BARANGAN SEGAR","MEE/KUETIAU","MEE"
1484,"KUETIAU BASAH (PELBAGAI JENAMA)","+-450g","BARANGAN SEGAR","MEE/KUETIAU","KUETIAU"
1485,"EPAL HIJAU GRANNY SMITH (SAIZ M)","1 biji","BARANGAN SEGAR","BUAH-BUAHAN","EPAL"
1486,"EPAL MERAH RED DELICIOUS (SAIZ M)","1 biji","BARANGAN SEGAR","BUAH-BUAHAN","EPAL"
1487,"OREN VALENCIA (SAIZ M)","1 biji","BARANGAN SEGAR","BUAH-BUAHAN","OREN"
1489,"ASAM JAWA (BERBIJI) PELBAGAI JENAMA","200 g","BARANGAN BERBUNGKUS","REMPAH RATUS (BERBUNGKUS)","ASAM JAWA"
1491,"BERAS PULUT THAILAND (SUSU) PELBAGAI JENAMA","1kg","BARANGAN BERBUNGKUS","BERAS","BERAS PULUT"
1492,"BERAS PULUT THAILAND (BIASA) PELBAGAI JENAMA","1kg","BARANGAN BERBUNGKUS","BERAS","BERAS PULUT"
1493,"BIHUN KERING TEMPATAN (CAP JASMINE)","400 g","BARANGAN BERBUNGKUS","BIHUN","BIHUN KERING"
1494,"ROTI GARDENIA BREAKTHRU - ROTI GANDUM PENUH","400 g","BARANGAN BERBUNGKUS","ROTI","ROTI SANDWICH "
1498,"TEPUNG JAGUNG (PELBAGAI JENAMA)","400 g","BARANGAN BERBUNGKUS","TEPUNG","TEPUNG JAGUNG"
1505,"DUTCH LADY UHT COKLAT (KOTAK)","200 ml","MINUMAN","TERSEDIA MINUM","DUTCH LADY"
1506,"DUTCH LADY UHT FULL CREAM (KOTAK)","200 ml","MINUMAN","TERSEDIA MINUM","DUTCH LADY"
1507,"COCA COLA (TIN)","320 ml","MINUMAN","TERSEDIA MINUM","AIR BERKARBONAT"
1512,"MAMEX LANGKAH 1 - RUMUSAN BAYI (KOTAK)","600 g","SUSU DAN BARANGAN BAYI","SUSU BAYI","MAMEX"
1513,"SUSTAGEN KID 3+ (VANILLA) - KOTAK","600 g","SUSU DAN BARANGAN BAYI","SUSU BAYI","SUSTAGEN"
1514,"SUSTAGEN JUNIOR 1+ (VANILLA ) - KOTAK","600 g","SUSU DAN BARANGAN BAYI","SUSU BAYI","SUSTAGEN"
1515,"HEINZ FARLEY RUSKS (ORIGINAL)","120 g","SUSU DAN BARANGAN BAYI","MAKANAN BAYI","HEINZ"
1517,"HEINZ APPLE PUREE","110 g","SUSU DAN BARANGAN BAYI","MAKANAN BAYI","HEINZ"
1522,"DRYPERS WEE WEE DRY","M74","SUSU DAN BARANGAN BAYI","LAMPIN PAKAI BUANG","DRYPERS"
1524,"BERUS GIGI COLGATE (ZIG ZAG - SOFT)","1 batang","PRODUK KEBERSIHAN","PENJAGAAN DIRI","BERUS GIGI"
1525,"BERUS GIGI ORAL B (COMPLETE EASY CLEAN - SOFT)","1 batang","PRODUK KEBERSIHAN","PENJAGAAN DIRI","BERUS GIGI"
1538,"SABUN PENCUCI AXION PASTE (LEMON)","350 g","PRODUK KEBERSIHAN","PENJAGAAN RUMAH","PENCUCI PINGGAN"
1539,"SABUN PENCUCI KUAT HARIMAU (LEMON)","400 g","PRODUK KEBERSIHAN","PENJAGAAN RUMAH","PENCUCI PINGGAN"
1540,"SABUN PENCUCI GLO (LEMON)","900ml","PRODUK KEBERSIHAN","PENJAGAAN RUMAH","PENCUCI PINGGAN"
1541,"SABUN PENCUCI SUNLIGHT (LEMON)","1000 ml","PRODUK KEBERSIHAN","PENJAGAAN RUMAH","PENCUCI PINGGAN"
1543,"KIUB SUP TOMYAM (MAGGI)","2 X 10G","BARANGAN BERBUNGKUS","REMPAH RATUS (BERBUNGKUS)","PERENCAH"
1544,"SERBUK NASI GORENG CINA ADABI","17 g","BARANGAN BERBUNGKUS","REMPAH RATUS (BERBUNGKUS)","PERENCAH"
1545,"PERENCAH NASI GORENG IKAN BILIS SERI AJI","26G","BARANGAN BERBUNGKUS","REMPAH RATUS (BERBUNGKUS)","PERENCAH"
1547,"PEPSI COLA (TIN)","320 ml","MINUMAN","TERSEDIA MINUM","AIR BERKARBONAT"
1550,"PAHA AYAM (CHICKEN DRUMSTICK)","1kg","BARANGAN SEGAR","AYAM","PAHA AYAM"
1551,"DADA AYAM (CHICKEN KEEL) (1KG)","1kg","BARANGAN SEGAR","AYAM","DADA AYAM"
1552,"THIGH AYAM","1kg","BARANGAN SEGAR","AYAM","PAHA AYAM"
1553,"WHOLE LEG AYAM","1kg","BARANGAN SEGAR","AYAM","PAHA AYAM"
1554,"IKAN MERAH (KEPINGAN)","1kg","BARANGAN SEGAR","BAHAN LAUT","IKAN MERAH"
1555,"UDANG PUTIH/VANNAMEI (TERNAK) (ANTARA 41 HINGGA 60 EKOR SEKILOGRAM)","1kg","BARANGAN SEGAR","BAHAN LAUT","UDANG"
1556,"BAYAM HIJAU","1kg","BARANGAN SEGAR","SAYUR-SAYURAN","BAYAM"
1557,"BAYAM MERAH","1kg","BARANGAN SEGAR","SAYUR-SAYURAN","BAYAM"
1558,"SAWI HIJAU","1kg","BARANGAN SEGAR","SAYUR-SAYURAN","SAYUR DAUN"
1559,"KANGKUNG","1kg","BARANGAN SEGAR","SAYUR-SAYURAN","SAYUR DAUN"
1560,"KAILAN","1kg","BARANGAN SEGAR","SAYUR-SAYURAN","SAYUR DAUN"
1561,"TAUGE KACANG HIJAU","1kg","BARANGAN SEGAR","SAYUR-SAYURAN","KEKACANG"
1562,"UDANG KERING","100 g","BARANGAN KERING","HASIL LAUT KERING","UDANG KERING"
1563,"SOTONG KERING (SAIZ SERDAHANA)","1kg","BARANGAN KERING","HASIL LAUT KERING","SOTONG KERING"
1564,"BAWANG PUTIH IMPORT (CHINA)","1kg","BARANGAN KERING","BAWANG","BAWANG PUTIH"
1566,"SERBUK KARI IKAN (TIDAK BERBUNGKUS)","100 g","BARANGAN BERBUNGKUS","REMPAH RATUS (TIDAK BERBUNGKUS)",
1567,"SERBUK KARI DAGING (TIDAK BERBUNGKUS)","100 g","BARANGAN BERBUNGKUS","REMPAH RATUS (TIDAK BERBUNGKUS)",
1568,"SERBUK KARI IKAN ADABI","250 g","BARANGAN BERBUNGKUS","REMPAH RATUS (BERBUNGKUS)","SERBUK KARI"
1569,"SERBUK KARI IKAN ALAGAPPAS","250 g","BARANGAN BERBUNGKUS","REMPAH RATUS (BERBUNGKUS)","SERBUK KARI"
1570,"SERBUK KARI AYAM DAN DAGING ADABI","250 g","BARANGAN BERBUNGKUS","REMPAH RATUS (BERBUNGKUS)","SERBUK KARI"
1571,"SERBUK KARI DAGING ALAGAPPAS","250 g","BARANGAN BERBUNGKUS","REMPAH RATUS (BERBUNGKUS)","SERBUK KARI"
1572,"SERBUK KARI DAGING BABAS","250 g","BARANGAN BERBUNGKUS","REMPAH RATUS (BERBUNGKUS)","SERBUK KARI"
1573,"SERBUK KURMA AYAM & DAGING ADABI","250 g","BARANGAN BERBUNGKUS","REMPAH RATUS (BERBUNGKUS)","SERBUK KURMA"
1575,"SERBUK KURMA BABAS","125 g","BARANGAN BERBUNGKUS","REMPAH RATUS (BERBUNGKUS)","SERBUK KURMA"
1576,"SERBUK KARI KURMA ALAGAPPAS","200 g","BARANGAN BERBUNGKUS","REMPAH RATUS (BERBUNGKUS)","SERBUK KARI"
1577,"SERBUK PERENCAH SUP ADABI","250 g","BARANGAN BERBUNGKUS","REMPAH RATUS (BERBUNGKUS)","PERENCAH"
1578,"SERBUK REMPAH SUP MAK SITI","250 g","BARANGAN BERBUNGKUS","REMPAH RATUS (BERBUNGKUS)","PERENCAH"
1579,"SERBUK SUP FAIZA","220 g","BARANGAN BERBUNGKUS","REMPAH RATUS (BERBUNGKUS)","PERENCAH"
1581,"BERAS CAP RAMBUTAN (SST5%)","10 kg","BARANGAN BERBUNGKUS","BERAS","BERAS"
1582,"BERAS CAP JASMINE (SST5%)","10 kg","BARANGAN BERBUNGKUS","BERAS","BERAS"
1583,"BERAS SUPER CAP JATI TWR 5% (IMPORT)","10 kg","BARANGAN BERBUNGKUS","BERAS","BERAS SUPER"
1585,"BIHUN KERING IMPORT (CAP BINTANG)","400 g","BARANGAN BERBUNGKUS","BIHUN","BIHUN KERING"
1586,"ROTI SANDWICH MASSIMO DENGAN GERMA GANDUM","400 g","BARANGAN BERBUNGKUS","ROTI","ROTI SANDWICH "
1587,"GULA HALUS CASTOR (PELBAGAI JENAMA)","+- 500g","BARANGAN BERBUNGKUS","GULA","GULA HALUS"
1588,"GULA MERAH LEMBUT (PELBAGAI JENAMA)","+- 500g","BARANGAN BERBUNGKUS","GULA","GULA MERAH"
1589,"GULA PUTIH BERTAPIS KASAR (PELBAGAI JENAMA)","1kg","BARANGAN BERBUNGKUS","GULA","GULA PUTIH"
1590,"GULA PUTIH BERTAPIS HALUS (PELBAGAI JENAMA)","1kg","BARANGAN BERBUNGKUS","GULA","GULA PUTIH"
1591,"TEPUNG BERAS (PELBAGAI JENAMA)","500 g","BARANGAN BERBUNGKUS","TEPUNG","TEPUNG BERAS"
1593,"TEPUNG GANDUM GP (BERBUNGKUS) PELBAGAI JENAMA","1kg","BARANGAN BERBUNGKUS","TEPUNG","TEPUNG GANDUM"
1594,"TEPUNG PULUT (PELBAGAI JENAMA)","500 g","BARANGAN BERBUNGKUS","TEPUNG","TEPUNG PULUT"
1595,"MINYAK JAGUNG CAP DAISY","2 kg","BARANGAN BERBUNGKUS","MINYAK DAN LEMAK","MINYAK JAGUNG"
1596,"MINYAK JAGUNG CAP MAZOLA","2 kg","BARANGAN BERBUNGKUS","MINYAK DAN LEMAK","MINYAK JAGUNG"
1597,"MINYAK JAGUNG CAP VECORN","2 kg","BARANGAN BERBUNGKUS","MINYAK DAN LEMAK","MINYAK JAGUNG"
1598,"MINYAK MASAK SEBATIAN CAP HELANG","2 kg","BARANGAN BERBUNGKUS","MINYAK DAN LEMAK","MINYAK MASAK"
1599,"MINYAK MASAK SEBATIAN CAP NEPTUNE","2 kg","BARANGAN BERBUNGKUS","MINYAK DAN LEMAK","MINYAK MASAK"
1600,"MINYAK MASAK SEBATIAN CAP PISAU","2 kg","BARANGAN BERBUNGKUS","MINYAK DAN LEMAK","MINYAK MASAK"
1601,"MINYAK MASAK TULEN CAP BURUH","2 kg","BARANGAN BERBUNGKUS","MINYAK DAN LEMAK","MINYAK MASAK"
1602,"MINYAK MASAK TULEN CAP VESAWIT","2 kg","BARANGAN BERBUNGKUS","MINYAK DAN LEMAK","MINYAK MASAK"
1603,"MINYAK SAPI CAP WINDMILL GHEEBLEND","400 g","BARANGAN BERBUNGKUS","MINYAK DAN LEMAK","MINYAK SAPI "
1604,"ASAM JAWA (TIDAK BERBIJI) ADABI","200 g","BARANGAN BERBUNGKUS","REMPAH RATUS (BERBUNGKUS)","ASAM JAWA"
1605,"GARAM HALUS BIASA (PELBAGAI JENAMA)","+-350g","BARANGAN BERBUNGKUS","REMPAH RATUS (BERBUNGKUS)","GARAM"
1606,"MENTEGA KACANG HALUS LADY'S CHOICE","500 g","BARANGAN BERBUNGKUS","SAPUAN (SPREADS)","MENTEGA KACANG"
1607,"LEPAAN FARMCOWS","250 g","BARANGAN BERBUNGKUS","SAPUAN (SPREADS)","LEPAAN"
1608,"LEPAAN BUTTERCUP","250 g","BARANGAN BERBUNGKUS","SAPUAN (SPREADS)","LEPAAN"
1609,"MENTEGA SCS (SALTED)","250 g","BARANGAN BERBUNGKUS","MENTEGA","MENTEGA"
1610,"SANTAN KELAPA JENAMA M&S","500 ml","BARANGAN BERBUNGKUS","SANTAN (KOTAK)","SANTAN"
1611,"SANTAN KELAPA JENAMA KARA","200 ml","BARANGAN BERBUNGKUS","SANTAN (KOTAK)","SANTAN"
1612,"SANTAN KELAPA JENAMA HARMUNI","200 ml","BARANGAN BERBUNGKUS","SANTAN (KOTAK)","SANTAN"
1613,"ESEN STAR BRAND 'PELBAGAI PERISA'","25 ml","BARANGAN BERBUNGKUS","ESEN DAN RAGI",
1615,"MENTEGA ANCHOR (SALTED)","227g","BARANGAN BERBUNGKUS","MENTEGA","MENTEGA"
1616,"MAURIPAN YIS SEGERA","11g","BARANGAN BERBUNGKUS","ESEN DAN RAGI",
1618,"SUSU ISIAN PEKAT MANIS CAP F & N","500 g","BARANGAN BERBUNGKUS","KRIMER DAN SUSU TEPUNG","SUSU SEJAT"
1619,"SUSU TEPUNG SEGERA DUTCHLADY (BIASA )","600 g","BARANGAN BERBUNGKUS","KRIMER DAN SUSU TEPUNG","SUSU TEPUNG"
1623,"S-26 SMA RUMUSAN BAYI LANGKAH 1 - (KOTAK)","600 g","SUSU DAN BARANGAN BAYI","SUSU BAYI","S-26"
1624,"S-26 GOLD SMA RUMUSAN BAYI LANGKAH 1 - (KOTAK)","600 g","SUSU DAN BARANGAN BAYI","SUSU BAYI","S-26"
1628,"NESTLE CERELAC GANDUM DAN MADU - KOTAK","225g","SUSU DAN BARANGAN BAYI","MAKANAN BAYI","CERELAC"
1629,"NESTLE CERELAC BERAS MERAH & SUSU - TIN","350 g","SUSU DAN BARANGAN BAYI","MAKANAN BAYI","CERELAC"
1630,"BERUS GIGI COLGATE (TWISTER - SOFT)","1 batang","PRODUK KEBERSIHAN","PENJAGAAN DIRI","BERUS GIGI"
1635,"NESTLE COFFEE-MATE","450 g","MINUMAN","BAHAN-BAHAN MINUMAN","COFFEE-MATE"
1636,"MILO (PAKET)","400 g","MINUMAN","BAHAN-BAHAN MINUMAN","MILO"
1637,"MILO (PAKET)","1kg","MINUMAN","BAHAN-BAHAN MINUMAN","MILO"
1638,"MILO 3 IN 1 (PAKET) - ORIGINAL","30x33g","MINUMAN","BAHAN-BAHAN MINUMAN","MILO"
1645,"SERBUK KOPI CAP KAPAL API (KASAR) (BERBUNGKUS)","180 g","MINUMAN","BAHAN-BAHAN MINUMAN","KOPI"
1646,"SERBUK KOPI HANG TUAH ROBUSTA","200 g","MINUMAN","BAHAN-BAHAN MINUMAN","KOPI"
1647,"TEH LIPTON (SERBUK)","400 g","MINUMAN","BAHAN-BAHAN MINUMAN","TEH"
1650,"TEH LIPTON (UNCANG)","100 beg","MINUMAN","BAHAN-BAHAN MINUMAN","TEH"
1651,"YEO'S SOYA (KOTAK)","250 ml","MINUMAN","TERSEDIA MINUM","AIR KOTAK"
1652,"PAPERMATE LIQUID PAPER (PEN)","7ml","BARANGAN KEDAI SERBANEKA","ALAT TULIS DAN BAHAN BACAAN","LIQUID PAPER"
1653,"UHU GLUE (GAM PELBAGAI KEGUNAAN)","20ml","BARANGAN KEDAI SERBANEKA","ALAT TULIS DAN BAHAN BACAAN","GAM"
1654,"MAJALAH CLEO","senaskah","BARANGAN KEDAI SERBANEKA","MAJALAH",
1657,"MAJALAH MINGGUAN WANITA","senaskah","BARANGAN KEDAI SERBANEKA","MAJALAH",
1658,"COLGATE TOOTHBRUSH EXTRA CLEAN MEDIUM","1 batang","BARANGAN KEDAI SERBANEKA","BERUS GIGI","BERUS GIGI"
1659,"DARLIE TRAVEL KIT ADULT","1 unit","BARANGAN KEDAI SERBANEKA","UBAT GIGI","UBAT GIGI"
1669,"KOTEX SOFT AND SMOOTH OVERNIGHT WING 8 PADS (28CM)","paket","BARANGAN KEDAI SERBANEKA","TUALA WANITA","TUALA WANITA"
1670,"KOTEX SOFT & SMOOTH MAXI WING 10 PADS","paket","BARANGAN KEDAI SERBANEKA","TUALA WANITA","TUALA WANITA"
1671,"REJOICE RICH SOFT SMOOTH SHAMPOO","70ml","BARANGAN KEDAI SERBANEKA","SYAMPU","SYAMPU"
1673,"HEAD AND SHOULDERS COOL MENTHOL SHAMPOO","70ml","BARANGAN KEDAI SERBANEKA","SYAMPU","SYAMPU"
1677,"KLEENEX FACIAL TISSUE VINTAGE SOFTPACK 50S X 3","paket","BARANGAN KEDAI SERBANEKA","TISU","TISU MUKA"
1678,"FUMAKILLA D1 (LINGKARAN NYAMUK) - 1 X 10'S","paket","BARANGAN KEDAI SERBANEKA","PENGHALAU NYAMUK",""
1680,"PANADOL ACTIFAST 10S","paket","BARANGAN KEDAI SERBANEKA","UBAT-UBATAN","PANADOL"
1682,"STREPSILS ORIGINAL 6 LOZENGES","paket","BARANGAN KEDAI SERBANEKA","UBAT-UBATAN","LOZENGE"
1683,"MISTER POTATO CRISPS (PELBAGAI PERISA) - BOTOL","160 g","BARANGAN KEDAI SERBANEKA","MAKANAN RINGAN","POTATO CHIPS"
1684,"PRINGLES POTATO CRISPS (PELBAGAI PERISA) - BOTOL","110 g","BARANGAN KEDAI SERBANEKA","MAKANAN RINGAN","POTATO CHIPS"
1685,"MISTER POTATO CHIPS (PELBAGAI PERISA) - PAKET","75 g","BARANGAN KEDAI SERBANEKA","MAKANAN RINGAN","POTATO CHIPS"
1691,"OREO BISKUT SANDWICH COKLAT JENAMA KRAFT (PELBAGAI PERISA)","paket","BARANGAN KEDAI SERBANEKA","BISKUT","BISKUT"
1692,"CREAM O BISKUT SANDWICH JENAMA JACK N JILL (PELBAGAI PERISA)","132g","BARANGAN KEDAI SERBANEKA","BISKUT","BISKUT"
1693,"CHIPSMORE ORIGINAL","163.2g","BARANGAN KEDAI SERBANEKA","BISKUT","BISKUT"
1695,"ENO SACHET GINGER","2x4.3g","BARANGAN KEDAI SERBANEKA","UBAT-UBATAN","ENO"
1696,"CHIPSMORE MINI HAZELNUTS","88g","BARANGAN KEDAI SERBANEKA","BISKUT","BISKUT"
1697,"TIGER BISKUAT SUSU","75 g","BARANGAN KEDAI SERBANEKA","BISKUT","BISKUT"
1699,"CADBURY DAIRY MILK HAZELNUT","40 g","BARANGAN KEDAI SERBANEKA","COKLAT",
1700,"KINDER JOY FOR BOYS/FOR GIRLS","20 g","BARANGAN KEDAI SERBANEKA","COKLAT",
1701,"TOBLERONE (MILK CHOCOLATE)","50 g","BARANGAN KEDAI SERBANEKA","COKLAT",
1704,"NIPS CHOCOLATE COATED ROASTED PEANUT","85g","BARANGAN KEDAI SERBANEKA","COKLAT",
1710,"MAGGI HOT CUP (CURRY)","64g","BARANGAN KEDAI SERBANEKA","MAKANAN SEGERA","MI SEGERA"
1712,"YAKULT (ACE/ACE LIGHT)","80ml","BARANGAN KEDAI SERBANEKA","MINUMAN","YOGURT"
1718,"LIVITA WITH HONEY (TIN)","250 ml","BARANGAN KEDAI SERBANEKA","MINUMAN","MINUMAN TENAGA"
1719,"SEVEN UP LEMON & LIME","500 ml","BARANGAN KEDAI SERBANEKA","MINUMAN","AIR BERKARBONAT"
1725,"THREE LEGS COOLING WATER","200 ml","BARANGAN KEDAI SERBANEKA","MINUMAN","AIR BERUBAT"
1727,"COOL RHINO COOLING WATER","350ml","BARANGAN KEDAI SERBANEKA","MINUMAN","AIR BERUBAT"
1728,"NASI GORENG BIASA","sepinggan","MAKANAN SIAP MASAK","NASI","NASI GORENG"
1729,"NASI GORENG SEAFOOD","sepinggan","MAKANAN SIAP MASAK","NASI","NASI GORENG"
1730,"MI GORENG BIASA","sepinggan","MAKANAN SIAP MASAK","MEE / BIHUN / KUEY TEOW","MI"
1731,"MI GORENG MAMAK","sepinggan","MAKANAN SIAP MASAK","MEE / BIHUN / KUEY TEOW","MI"
1732,"MI HAILAM","sepinggan","MAKANAN SIAP MASAK","MEE / BIHUN / KUEY TEOW","MI"
1733,"MI SUP (AYAM/DAGING)","semangkuk","MAKANAN SIAP MASAK","MEE / BIHUN / KUEY TEOW","MI"
1734,"MI TOM YAM","semangkuk","MAKANAN SIAP MASAK","MEE / BIHUN / KUEY TEOW","MI"
1735,"MI BANDUNG","sepinggan","MAKANAN SIAP MASAK","MEE / BIHUN / KUEY TEOW","MI"
1736,"MI LADNA","sepinggan","MAKANAN SIAP MASAK","MEE / BIHUN / KUEY TEOW","MI"
1737,"MI KUNGFU","sepinggan","MAKANAN SIAP MASAK","MEE / BIHUN / KUEY TEOW","MI"
1738,"BIHUN SUP (AYAM/DAGING)","semangkuk","MAKANAN SIAP MASAK","MEE / BIHUN / KUEY TEOW","BIHUN"
1739,"KUETIAU GORENG BIASA","sepinggan","MAKANAN SIAP MASAK","MEE / BIHUN / KUEY TEOW","KUETIAU"
1740,"KUETIAU HAILAM","sepinggan","MAKANAN SIAP MASAK","MEE / BIHUN / KUEY TEOW","KUETIAU"
1741,"KUETIAU SUP (AYAM/DAGING)","semangkuk","MAKANAN SIAP MASAK","MEE / BIHUN / KUEY TEOW","KUETIAU"
1742,"KUETIAU TOM YAM","semangkuk","MAKANAN SIAP MASAK","MEE / BIHUN / KUEY TEOW","KUETIAU"
1743,"KUETIAU BANDUNG","semangkuk","MAKANAN SIAP MASAK","MEE / BIHUN / KUEY TEOW","KUETIAU"
1744,"KUETIAU LADNA","sepinggan","MAKANAN SIAP MASAK","MEE / BIHUN / KUEY TEOW","KUETIAU"
1745,"KUETIAU KUNGFU","sepinggan","MAKANAN SIAP MASAK","MEE / BIHUN / KUEY TEOW","KUETIAU"
1746,"CHAR KUETIAU","sepinggan","MAKANAN SIAP MASAK","MEE / BIHUN / KUEY TEOW","KUETIAU"
1747,"MI HOKKIEN","sepinggan","MAKANAN SIAP MASAK","MEE / BIHUN / KUEY TEOW","MI"
1748,"KON LOH MI (KICAP)","sepinggan","MAKANAN SIAP MASAK","MEE / BIHUN / KUEY TEOW","MI"
1749,"WAN TAN MI","semangkuk","MAKANAN SIAP MASAK","MEE / BIHUN / KUEY TEOW","MI"
1750,"MI UDANG","semangkuk","MAKANAN SIAP MASAK","MEE / BIHUN / KUEY TEOW","MI"
1751,"MI KARI","semangkuk","MAKANAN SIAP MASAK","MEE / BIHUN / KUEY TEOW","MI"
1752,"DAGING KAMBING MASAK KARI","sepiring","MAKANAN SIAP MASAK","LAUK","KAMBING"
1753,"PAK CHOY SOS TIRAM","sepiring","MAKANAN SIAP MASAK","LAUK","SAYUR"
1754,"SAYUR TAUGEH","sepiring","MAKANAN SIAP MASAK","LAUK","SAYUR"
1755,"BABI (PORK) GORENG","sepiring","MAKANAN SIAP MASAK","LAUK","BABI"
1756,"BABI (PORK) MASAM MANIS","sepiring","MAKANAN SIAP MASAK","LAUK","BABI"
1757,"IKAN SIAKAP GORENG (SAIZ SEDERHANA)","1 ekor","MAKANAN SIAP MASAK","LAUK","IKAN"
1758,"IKAN SIAKAP MASAM MANIS (SAIZ SEDERHANA)","1 ekor","MAKANAN SIAP MASAK","LAUK","IKAN"
1759,"IKAN SIAKAP TIGA RASA (SAIZ SEDERHANA)","1 ekor","MAKANAN SIAP MASAK","LAUK","IKAN"
1760,"IKAN SIAKAP KUKUS/STIM (SAIZ SEDERHANA)","1 ekor","MAKANAN SIAP MASAK","LAUK","IKAN"
1761,"IKAN KERAPU GORENG (SAIZ SEDERHANA)","1 ekor","MAKANAN SIAP MASAK","LAUK","IKAN"
1762,"IKAN KERAPU MASAM MANIS (SAIZ SEDERHANA)","1 ekor","MAKANAN SIAP MASAK","LAUK","IKAN"
1763,"IKAN KERAPU TIGA RASA (SAIZ SEDERHANA)","1 ekor","MAKANAN SIAP MASAK","LAUK","IKAN"
1764,"IKAN KERAPU KUKUS/STIM (SAIZ SEDERHANA)","1 ekor","MAKANAN SIAP MASAK","LAUK","IKAN"
1765,"IKAN BAWAL HITAM GORENG (SAIZ SEDERHANA)","1 ekor","MAKANAN SIAP MASAK","LAUK","IKAN"
1766,"IKAN BAWAL HITAM MASAM MANIS (SAIZ SEDERHANA)","1 ekor","MAKANAN SIAP MASAK","LAUK","IKAN"
1767,"IKAN BAWAL HITAM TIGA RASA (SAIZ SEDERHANA)","1 ekor","MAKANAN SIAP MASAK","LAUK","IKAN"
1768,"IKAN BAWAL HITAM KUKUS/STIM (SAIZ SEDERHANA)","1 ekor","MAKANAN SIAP MASAK","LAUK","IKAN"
